So duong su dung tren moi lien ket va do su dung tren tung lien ket
BackBone 1,BackBone 2,So duong lien ket n,Do su dung u,Chi phi 1 lien ket, Tong chi phi 
13,29,1,0.3333333333333333,1028.1347187990493,1028.1347187990493
38,29,1,0.75,672.0119046564577,672.0119046564577
13,45,1,0.5,486.4092926743896,486.4092926743896
38,45,1,0.75,1080.2059988724372,1080.2059988724372
13,38,3,0.75,914.1974622585648,2742.592386775694
45,29,2,0.625,858.2569545305182,1716.5139090610364
20,29,1,0.5,727.4022271068463,727.4022271068463
13,69,3,0.8055555555555556,571.210118957989,1713.6303568739672
38,69,3,0.6944444444444444,670.5490287816395,2011.6470863449185
20,45,1,0.8333333333333334,703.401023598914,703.401023598914
